runtime,genre,rating,about,votes,gross_earn
114 min,"Crime, Drama, Mystery",6.2,"A woman tries to straighten out her life, even as her past as a con-woman comes back to haunt her.","35,987",$6.59M
100 min,"Action, Crime, Drama",7.7,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.","40,881",
92 min,"Comedy, Drama",6.4,A sex-addicted con-man pays for his mother's hospital bills by playing on the sympathies of those who rescue him from choking to death.,"32,637",$2.93M
98 min,"Horror, Mystery, Sci-Fi",5,Kids all over America want Silver Shamrock masks for Halloween. Doctor Daniel Challis seeks to uncover a plot by Silver Shamrock owner Conal Cochran.,"52,560",$14.40M
108 min,"Comedy, Drama, Romance",5.7,A Princeton admissions officer who is up for a major promotion takes a professional risk after she meets a college-bound alternative school kid who just might be the son she gave up years ago in a secret adoption.,"35,071",$18.00M
93 min,"Action, Thriller",4.9,"After his family is kidnapped during their sailing trip in Spain, a young Wall Street trader is confronted by the people responsible: intelligence agents looking to recover a mysterious briefcase.","37,620",$3.75M
98 min,"Adventure, Horror, Sci-Fi",5.5,A group of astronaut explorers succumb one by one to a mysterious and terrifying force while collecting specimens on Mars.,"37,192",$0.02M
136 min,"Comedy, Drama",8,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.","43,305",$13.42M
111 min,Drama,6.7,An emotionally beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.,"33,033",$11.43M
105 min,Comedy,6.3,A soon-to-be-married man's friends throw him the ultimate bachelor party.,"40,068",$38.44M
109 min,"Crime, Drama, Thriller",6.1,A West Texas Deputy Sheriff is slowly unmasked as a psychotic killer.,"34,394",$0.21M
102 min,"Crime, Drama",7.2,Professional gambler Sydney teaches John the tricks of the trade. John does well until he falls for cocktail waitress Clementine.,"50,461",$0.22M
106 min,"Drama, Thriller",5.6,"An entry-level employee at a powerful corporation finds himself occupying a corner office, but at a dangerous price: he must spy on his boss's old mentor to secure for him a multi-billion dollar advantage.","37,592",$7.38M
90 min,"Animation, Drama, Fantasy",7.5,"A French illusionist finds himself out of work and travels to Scotland, where he meets a young woman. Their ensuing adventure changes both their lives forever.","35,251",$2.23M
104 min,"Comedy, Mystery",7.3,A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.,"44,072",$11.29M
102 min,"Adventure, Comedy, Crime",6.9,A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.,"44,213",$34.37M
95 min,"Comedy, Crime, Drama",7.4,A film crew follows a ruthless thief and heartless killer as he goes about his daily routine. But complications set in when the film crew lose their objectivity and begin lending a hand.,"41,010",$0.21M
93 min,"Comedy, Family, Music",3.6,World famous pop group the Spice Girls zip around London in their luxurious double decker tour bus having various adventures and performing for their fans.,"36,001",$29.34M
83 min,"Horror, Mystery, Sci-Fi",5.2,A group of medical researchers discover a way to bring dead patients back to life.,"43,583",$25.80M
156 min,"Action, Comedy, Crime",8.1,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?","66,160",
99 min,"Comedy, Crime",6.8,"A pastor preoccupied with writing the perfect sermon fails to realize that his wife is having an affair, and his children are up to no good.","34,823",$1.62M
102 min,Comedy,6.5,"A minor-league baseball player must spend $30 million in 30 days in order to inherit $300 million. However, he's not allowed to own any assets, destroy the money, gift it, give it to charity, or tell anyone about the deal.","39,424",$38.80M
120 min,"Comedy, Drama",7.2,A family vacationing in the French Alps is confronted with a devastating avalanche.,"54,927",$1.36M
91 min,"Action, Drama, Thriller",5.4,"Two veterans of the Bosnian War, one American, one Serbian, find their unlikely friendship tested when one of them reveals their true intentions.","37,503",$0.03M
115 min,"Action, Adventure, Crime",5.8,"A sniper on a mercenary assassination team kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself.","41,162",$10.64M
132 min,"Crime, Drama, Mystery",7.4,A big city reporter travels to a small town where her mother has been arrested for the murder of an elderly woman for whom she worked as a housekeeper.,"43,669",$24.36M
87 min,"Drama, Thriller",6.4,"A young boy stays with his aunt and uncle and becomes friends with his cousin, a boy of the same age who shows increasing signs of violent and psychopathic behavior.","41,395",$44.59M
99 min,"Adventure, Horror, Thriller",3.7,A giant thirty-five-foot shark becomes trapped in a SeaWorld theme park and it's up to the sons of police chief Brody to rescue everyone.,"44,194",$45.52M
123 min,"Comedy, Drama, Sport",7.3,A failing ice hockey team finds success with outrageously violent hockey goonery.,"37,594",$28.00M
101 min,"Action, Crime, Mystery",5.1,A homicide detective is pushed to the brink of his moral and physical limits as he tangles with a ferociously skilled hired killer who specializes in torture and pain.,"34,137",$25.89M
133 min,"Action, Crime, Drama",7.2,A misfit bunch of friends comes together to right the injustices which exist in a small town.,"44,567",$33.20M
105 min,"Action, Drama",6,A young martial artist's unparalleled Tai Chi skills land him in a highly lucrative underworld fight club.,"39,046",$0.10M
111 min,"Comedy, Drama",6.2,"A tour into the heart of a Hollywood family chasing celebrity, one another and the relentless ghosts of their pasts.","40,922",$0.35M
102 min,"Comedy, Romance",5.3,"A nerdy valedictorian proclaims his love for Beth Cooper--the hottest, most popular girl in school--during his graduation speech. That very night, she shows up at his door offering to show him the best night of his life.","35,423",$14.79M
97 min,"Drama, Mystery, Sci-Fi",5.6,A young programmer whose job is to watch over the reality-warping Cube defies orders to rescue an innocent mother trapped in one of its rooms.,"40,395",
132 min,"Action, Adventure, Drama",6.5,A British officer resigns his post just before battle and subsequently receives four white feathers from his friends and fiancee as symbols of what they believe to be his cowardice.,"34,281",$18.31M
110 min,"Drama, Horror, Sci-Fi",5.9,"Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today.","56,903",$5.78M
101 min,"Drama, Family, Fantasy",7.3,"A young, recently-orphaned girl is sent to England after living in India all of her life. Once there, she begins to explore her new, seemingly-isolated surroundings, and its secrets.","41,530",$31.18M
131 min,"Drama, Music, Romance",5.9,"When a fisherman leaves to fight with the Greek army during World War II, his fiancée falls in love with the local Italian commander.","34,469",$25.54M
96 min,"Adventure, Comedy, Drama",6,A young girl inhabits an isolated island with her scientist father and communicates with a reclusive author of the novel she's reading.,"35,394",$48.01M
93 min,"Comedy, Mystery, Sci-Fi",5,"When Lou's shot in the groin, Nick and Jacob drag him in the Hot Tub Time Machine to go back in time and save Lou. The three end up 10 years in the future, where they need to go to find the shooter.","39,249",$12.28M
98 min,"Drama, Fantasy, Music",7.7,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.","48,509",$2.00M
125 min,"Biography, Comedy, Crime",7,"In the late 1980s, a low level gangster named Jackie DiNorscio defends himself in court in what became the longest criminal trial in American judicial history.","34,669",$1.17M
106 min,"Action, Adventure, Fantasy",5.3,The heroic warrior He-Man battles against the evil lord Skeletor and his armies of darkness for control of Castle Grayskull.,"40,933",$17.34M
109 min,"Action, Crime, Drama",6.5,"A career jewel thief finds himself at tense odds with his longtime partner, a crime boss who sends his nephew to keep watch.","37,078",$0.05M
93 min,"Comedy, Romance",6.4,A San Francisco poet who fears commitment suspects his girlfriend may have a knack for killing off her significant others.,"39,085",$11.59M
102 min,"Comedy, Romance",5.9,"When a hypochondriac learns that he is dying, he accepts an offer to throw himself in a volcano at a tropical island, and along the way there, learns to truly live.","37,305",$39.40M
115 min,"Comedy, Drama, Romance",6.2,"A comedian who hosts a news satire program decides to run for president, and a computerized voting machine malfunction gets him elected.","33,453",$37.44M
102 min,"Action, Comedy, Crime",5.8,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.","58,768",$91.22M
106 min,"Comedy, Drama",7.2,"A young social outcast in Australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love.","39,092",$15.19M
118 min,"Drama, Western",7.6,"A weary gunfighter in 1880s Wyoming begins to envision a quieter life after befriending a homestead family with a young son who idolizes him, but a smoldering range war forces him to act.","40,638",$20.00M
112 min,"Comedy, Drama",7.4,"A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers.","36,448",$8.35M
106 min,"Comedy, Drama, Family",6.1,Can Gordon's team win the Junior Goodwill Games in California in spite of all the set-backs?,"40,527",$45.61M
125 min,"Crime, Horror, Mystery",7.4,"While doing a thesis about violence, Ángela finds a snuff video where a girl is tortured until death. Soon she discovers that the girl was a former student in her faculty...","38,936",
116 min,"Biography, Drama, Romance",7.1,"A former British Army officer, who was tortured as a prisoner of war at a Japanese labor camp during World War II, discovers that the man responsible for much of his treatment is still alive and sets out to confront him.","40,335",$4.44M
97 min,"Adventure, Comedy, Family",6.3,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.","42,078",$82.99M
140 min,"Crime, Drama, Mystery",7.2,"Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie.","42,404",$2.71M
108 min,"Horror, Sci-Fi",5.4,A simple man is turned into a genius through the application of computer science.,"36,294",$32.10M
110 min,"Drama, Romance",6.3,"A group of friends, just out of college, struggle with adulthood.","42,356",$37.80M
120 min,"Action, Adventure, Comedy",6.8,"A Secret Agent loses his memory after falling from a crashing helicopter. He is then chased by several other agency operatives, but he has no idea why.","40,069",
120 min,"Comedy, Drama, Romance",6.6,"While matchmaking for friends and neighbours, a young 19th Century Englishwoman nearly misses her own chance at love.","39,180",$22.20M
118 min,"Drama, Music",6.9,"In 1984, British journalist Arthur Stuart investigates the career of 1970s glam superstar Brian Slade, who was heavily influenced in his early years by hard-living and rebellious American singer Curt Wild.","35,816",$1.05M
96 min,"Action, Crime, Drama",7.4,Boyka is back. This time he is fighting in the first ever inter-prison tournament with one knee.,"41,906",
84 min,"Crime, Horror",6.6,"When Brent turns down his classmate Lola's invitation to the prom, she concocts a wildly violent plan for revenge.","40,935",
101 min,"Comedy, Drama, Romance",6.4,A police officer promises to share his lottery ticket with a waitress in lieu of a tip.,"39,880",$37.80M
97 min,"Comedy, Drama, Romance",6.4,A sleazy writer has a chance to redeem himself when he goes to stay with his grandmother and befriends the neighbors.,"31,815",$11.04M
93 min,"Drama, Music",5.8,The famous 1970s New York City nightclub seen and told through the eyes of a young employee.,"33,288",$16.57M
95 min,"Comedy, Drama, Music",7.2,"In the 1930s, jazz guitarist Emmet Ray idolizes Django Reinhardt, faces gangsters and falls in love with a mute woman.","35,180",$4.20M
114 min,"Comedy, Drama, Romance",6,"In 1925, an enterprising pro football player convinces America's too-good-to-be-true college football hero to play for his team and keep the league from going under.","32,436",$31.20M
107 min,"Action, Adventure, Fantasy",3.6,"Profion, a tyrant, attempts to overthrow a peaceful kingdom ruled by a tough empress.","33,571",$15.22M
87 min,"Comedy, Drama, Romance",6.6,The story of an obsessively organized efficiency expert whose life unravels in unexpected ways when fate forces him to explore the serendipitous nature of love and forgiveness.,"32,728",$0.24M
102 min,"Drama, Horror, Thriller",6.1,An unhinged war veteran holes up with a lonely woman in a spooky Oklahoma motel room. The line between reality and delusion is blurred as they discover a bug infestation.,"35,287",$7.01M
88 min,Horror,3.9,"Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends.","36,033",$43.87M
82 min,Comedy,6.9,"When a bumbling New Yorker is dumped by his activist girlfriend, he travels to a tiny Latin American nation and becomes involved in its latest rebellion.","35,846",$11.80M
105 min,"Action, Crime, Drama",5.5,"In New York City, a young counterfeiter is introduced to the world of underground street fighting by a seasoned scam artist, who becomes his manager on the bare-knuckling brawling circuit.","33,227",$23.04M
130 min,"Action, Crime, Drama",7.5,The efforts of the Pakistani security forces in their fight against terrorism and how the lives of security officials are affected. A retired security officer returns to save Pakistan from a major terrorist attack.,"29,746",
100 min,"Action, Adventure, Comedy",5,"The Phantom, descendent of a line of African superheroes, travels to New York City to thwart a wealthy criminal genius from obtaining three magic skulls which would give him the secret to ultimate power.","34,153",$17.30M
85 min,"Comedy, War",7.7,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.","38,572",
117 min,Horror,6.1,"Newlyweds and their three children move into a large house where a mass murder was committed. They start to experience strange, inexplicable manifestations which have strong effects on everyone living in or visiting the house.","39,776",$86.43M
101 min,"Action, Crime, Thriller",5.6,"Orin Boyd, a tough cop in an inner-city precinct discovers a web of dirty cops and corruption.","35,439",$51.76M
89 min,"Drama, Family, Sport",8.2,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","74,371",$0.93M
108 min,"Crime, Drama, Mystery",7.4,A movie sound recordist accidentally records the evidence that proves that a car accident was actually murder and consequently finds himself in danger.,"52,909",$13.75M
119 min,"Action, Crime, Drama",6.6,"Two criminal drifters without sympathy get more than they bargained for after kidnapping and holding for ransom the surrogate mother carrying a baby for a powerful, shady man.","33,614",$6.06M
99 min,"Comedy, Family",5.4,"With their daughter, Blair, away in Peru, Luther and Nora Krank decide to skip Christmas all together until she decides to come home, causing an uproar when they have to celebrate it at the last minute.","49,429",$73.78M
94 min,"Adventure, Comedy, Family",5.5,"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.","39,685",$42.67M
75 min,"Animation, Family, Fantasy",7.1,An update of the original film with new interpretations of great works of classical music.,"38,527",$60.66M
137 min,"Adventure, Thriller, Western",6.5,"In 1885 New Mexico, a frontier medicine woman forms an uneasy alliance with her estranged father when her daughter is kidnapped by an Apache brujo.","36,244",$26.90M
82 min,"Animation, Adventure, Drama",7.5,"To save her ill son, a field mouse must seek the aid of a colony of rats, with whom she has a deeper link than she suspected.","41,308",$10.14M
88 min,"Animation, Adventure, Comedy",7,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.","46,023",$130.18M
84 min,"Action, Adventure, Drama",6.9,"A young Scottish man travels across America in pursuit of the woman he loves, attracting the attention of an outlaw who is willing to serve as a guide.","45,579",$0.23M
126 min,"Drama, Thriller",7.6,A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.,"43,847",$1.92M
92 min,"Action, Comedy, Drama",4.7,A group of diamond thieves on the run kidnap the wife of a recently discharged marine who goes on a chase through the South Carolinian wilderness to retrieve her.,"34,152",$18.84M
98 min,Comedy,6.1,"A streetwise man flees South Central Los Angeles, heading to the suburbs and his lottery-winner uncle and cousin, to avoid a neighborhood thug with a grudge who has just escaped from prison.","40,698",$57.33M
82 min,"Animation, Adventure, Comedy",5,"Jon and Garfield visit the United Kingdom, where a case of mistaken cat identity finds Garfield ruling over a castle. His reign is soon jeopardized by the nefarious Lord Dargis, who has designs on the estate.","43,098",$28.43M
109 min,"Comedy, Drama, Romance",6.1,"After a one night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions.","35,903",$29.29M
135 min,"Biography, Drama, History",6.8,"In 1967, Ernesto 'Che' Guevara leads a small partisan army to fight an ill-fated revolutionary guerrilla war in Bolivia, South America.","33,804",
105 min,"Drama, Romance",7.7,Decades of a love triangle concerning two friends and an impulsive woman.,"41,424",
99 min,"Action, Fantasy, Horror",4.9,"A group of thieves breaks into a chamber expecting to find paintings, but instead they release the count himself, who travels to New Orleans to find his nemesis' daughter, Mary Van Helsing.","33,953",$33.02M
139 min,Drama,8,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.","56,725",$3.49M
87 min,Drama,7.2,A child molester returns to his hometown after 12 years in prison and attempts to start a new life.,"33,631",$0.04M
129 min,"Crime, Drama, Mystery",7.8,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,"63,528",$0.55M
101 min,"Comedy, Drama, Romance",6.4,"A group of New Yorkers caught up in their romantic-sexual milieu converge at an underground salon infamous for its blend of art, music, politics, and carnality.","33,697",$1.99M
156 min,"Drama, History",5.3,"A dramatization of the ascent to Caesar and subsequent reign of Caligula, one of the most notorious leaders of ancient Rome. We see his ambition, his scheming, his perversion and decadence, his brutality and his lunacy.","35,843",$23.44M
93 min,"Mystery, Romance, Thriller",5.8,A grief counselor working with a group of plane-crash survivors finds herself at the root of a mystery when her clients begin to disappear.,"37,361",$0.27M
104 min,"Comedy, Drama",7.4,"Prison guard Vince tells Molly from acting class, that one inmate is his 24 y.o. love child. Vince takes him home to stay with his family - straight A son with fat girl fetish, college dropout/stripper daughter and cute wife.","31,737",$6.67M
102 min,"Action, Crime, Drama",5.1,A Las Vegas mob enforcer travels back to his hometown to investigate his brother's mysterious death.,"34,671",$14.97M
144 min,"Comedy, Drama, Romance",8,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,"46,911",$2.22M
99 min,"Comedy, Drama, Romance",6.9,"It's the summer of 1994, and the streets of New York are pulsing with hip-hop. Set against this backdrop, a lonely teenager named Luke Shapiro spends his last summer before university selling marijuana throughout New York City, trading it with his unorthodox psychotherapist for treatment, while having a crush on his stepdaughter.","30,739",$2.08M
81 min,"Animation, Crime, Drama",8,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.","74,472",$0.78M
97 min,"Comedy, Romance, Thriller",6.6,A small-town beauty pageant turns deadly as it becomes clear that someone will go to any lengths to win.,"37,329",$10.56M
89 min,"Horror, Thriller",6.1,"As he helps a young artist with her upcoming exhibition, the owner of a mannequin shop's deadly, suppressed desires come to the surface.","37,652",$0.02M
129 min,"Comedy, Drama",7.9,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values.","32,891",
101 min,"Drama, Horror, Mystery",5.5,"During the final days at the Yankee Pedlar Inn, two employees determined to reveal the hotel's haunted past begin to experience disturbing events as old guests check in for a stay.","35,120",$0.08M
105 min,"Animation, Adventure, Comedy",5.3,"The Smurfs team up with their human friends to rescue Smurfette, who has been abducted by Gargamel, since she knows a secret spell that can turn the evil sorcerer's newest creation, creatures called ""The Naughties"", into real Smurfs.","42,180",$71.02M
103 min,"Adventure, Romance, Sci-Fi",7.5,A man's vision for a utopian society is disillusioned when travelling forward into time reveals a dark and dangerous society.,"41,319",
126 min,"Drama, Thriller",6.5,"When noted anthropologist Dr. Ethan Powell, who left society to live in the jungle is imprisoned for murder, it's up to young psychiatrist Theo Caulder to get through to him.","33,278",$34.10M
125 min,"Comedy, Drama, Fantasy",8.1,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,"58,430",$0.92M
103 min,"Comedy, Drama, Fantasy",6.4,"Peggy Sue faints at a high school reunion. When she wakes up, she finds herself in her own past, just before she finished school.","37,837",$41.38M
113 min,"Crime, Drama, Mystery",6.2,"Libby Day was only eight years old when her family was brutally murdered in their rural Kansas farmhouse. Almost thirty years later, she reluctantly agrees to revisit the crime and uncovers the wrenching truths that led up to that tragic night.","45,237",
88 min,"Comedy, Crime, Thriller",6.3,A bitter ex-husband wants his former spouse dead. A put-upon momma's boy wants his mother dead. Who will pull it off?,"37,044",$57.92M
99 min,"Comedy, Drama, Romance",6.4,"Two alternating stories, one comedy and the other tragedy, about Melinda's attempts to straighten out her life.","32,350",$3.83M
102 min,Comedy,7.8,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.","42,964",$0.20M
110 min,"Action, Drama, Thriller",5.8,"Los Angeles screenwriter David Sumner relocates with his wife to her hometown in the deep South. There, while tensions build between them, a brewing conflict with locals becomes a threat to them both.","34,425",$10.32M
77 min,"Animation, Adventure, Comedy",6.8,R.A.S. agents Miss Bianca and Bernard race to Australia to save a little boy and a rare golden eagle from a murderous poacher.,"42,918",$27.93M
95 min,"Mystery, Sci-Fi, Thriller",6.7,"An unsuspecting, disenchanted man finds himself working as a spy in the dangerous, high-stakes world of corporate espionage. Quickly getting way over-his-head, he teams up with a mysterious femme fatale.","31,196",
95 min,"Drama, Sci-Fi, Thriller",6.1,"Set in a world with memory recording implants, Alan Hakman is a cutter, someone with the power of final edit over people's recorded histories. His latest assignment is one that puts him in danger.","33,071",$0.55M
91 min,Thriller,4.7,"A woman, separated from her unfaithful husband, falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.","42,141",$35.39M
96 min,"Horror, Thriller",6,"Searching for a missing student, two private investigators break into his house and find collection of VHS tapes. Viewing the horrific contents of each cassette, they realize there may be dark motives behind the student's disappearance.","39,842",$0.02M
120 min,"Comedy, Drama, Romance",6.7,"A pregnant seventeen-year-old rebuilds her life after being abandoned by her boyfriend at a Walmart in Sequoyah, Oklahoma.","34,308",$33.77M
124 min,"Crime, Drama",7.5,"At Le Hollandais gourmet restaurant, every night is filled with opulence, decadence and gluttony. But when the cook, a thief, his wife and her lover all come together, they unleash a shocking torrent of sex, food, murder and revenge.","38,173",$7.72M
102 min,Drama,6.4,"The acerbic, hilarious Claire Bennett becomes fascinated by the suicide of a woman in her chronic pain support group. As she uncovers the details of Nina's suicide and develops a poignant relationship with Nina's husband, she also grapples with her own, very raw personal tragedy.","37,167",$1.87M
123 min,"Drama, Thriller, War",6.1,A banished hero of Rome allies with a sworn enemy to take his revenge on the city.,"32,269",$0.76M
129 min,"Comedy, Drama, Romance",7.7,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.","38,756",$10.55M
117 min,"Biography, Comedy, Drama",7.3,"In 1976, Tony Wilson sets up Factory Records and brings Manchester's music to the world.","37,390",$1.13M
96 min,"Action, Adventure, Comedy",7,"During a long English summer in the early 1980s, two schoolboys from differing backgrounds set out to make a film inspired by","31,906",$1.78M
115 min,"Action, Drama, History",6.1,A fallen warrior rises against a corrupt and sadistic ruler to avenge his dishonored master.,"43,368",
127 min,"Drama, Romance",7.4,Three activists cobble together a kidnapping plot after they encounter a businessman in his home.,"31,712",$0.18M
121 min,"Comedy, Drama, Musical",7.5,"Claude Bukowski leaves the family ranch in Oklahoma for New York where he is rapidly embraced into the hippie group of youngsters led by Berger, yet he's already been drafted. He soon falls in love with Sheila Franklin, a rich girl but still a rebel inside.","37,722",$15.28M
120 min,"Drama, Fantasy, Horror",6.3,"Because of the actions of her irresponsible parents, a young girl is left alone on a decrepit country estate and survives inside her fantastic imagination.","33,384",$0.07M
171 min,"Drama, Romance",7.3,"Central Europe, 1968: A Czech doctor with an active sex life meets a woman who wants monogamy, and then the Soviet invasion further disrupts their lives.","36,268",$10.01M
89 min,"Horror, Thriller",3.9,"Three years after he last terrorized his sister, Michael Myers confronts her again, before traveling to Haddonfield to deal with the cast and crew of a reality show which is being broadcast from his old home.","43,555",$30.35M
97 min,"Action, Crime, Drama",5.9,The partner and nephew of an armored-truck driver tries to prevent three million dollars from being taken by a gang during a catastrophic flooding caused by a severe storm.,"35,499",$19.82M
91 min,Horror,3.8,"Inspired by the fictional Dr. Heiter, disturbed loner Martin dreams of creating a 12-person centipede and sets out to realize his sick fantasy.","38,879",$0.12M
96 min,"Comedy, Drama, Romance",6.7,"Marion and Jack try to rekindle their relationship with a visit to Paris, home of Marion's parents -- and several of her ex-boyfriends.","31,305",$4.43M
93 min,"Horror, Thriller",6,"Cujo, a friendly St. Bernard, contracts rabies and conducts a reign of terror on a small American town.","45,755",$21.20M
106 min,"Action, Crime, Drama",5.6,"A senior at an ivy league college, who depends on scholarships and working on the side, gets accepted into the secret society The Skulls. He hopes it betters chances at Harvard but The Skulls is not what he thought and comes at a price.","32,464",$35.05M
95 min,"Crime, Thriller",5.9,A group of medical students devise a deadly game: to see which one of them can commit the perfect murder.,"32,432",$0.11M
126 min,"Comedy, Romance",7.8,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.","43,221",$0.17M
139 min,"Adventure, Comedy, Drama",7.6,"Jack Crabb, looking back from extreme old age, tells of his life being raised by Native Americans and fighting with General Custer.","35,429",$31.56M
130 min,"Drama, Music, Mystery",7.6,"A red-colored violin inspires passion, making its way through three centuries over several owners and countries, eventually ending up at an auction where it may find a new owner.","33,133",$9.47M
103 min,"Drama, Romance",7,A teenage girl dying of leukemia compiles a list of things she would like to do before passing away. Topping the list is her desire to lose her virginity.,"34,280",
94 min,"Animation, Action, Adventure",7.8,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,"37,473",
87 min,"Comedy, Crime, Mystery",6.3,A man caught in the middle of two simultaneous robberies at the same bank desperately tries to protect the teller with whom he's secretly in love.,"33,003",$0.00M
104 min,"Action, Adventure, Drama",6.1,"When their country is invaded and their families are taken, eight unlikely teenagers band together to fight.","31,234",
119 min,"Action, Adventure, Comedy",4.8,"An outlaw who was raised by Native Americans discovers that he has five half-brothers. Together the men go on a mission to find their wayward, deadbeat dad.","49,367",
113 min,"Drama, War",8.1,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.","36,614",$0.17M
88 min,"Action, Sci-Fi, Thriller",6.9,"A robot malfunction creates havoc and terror for unsuspecting vacationers at a futuristic, adult-themed amusement park.","58,289",$16.06M
93 min,"Comedy, Drama, Horror",6.6,A socially awkward veterinary assistant with a lazy eye and obsession with perfection descends into depravity after developing a crush on a boy with perfect hands.,"37,138",$0.15M
99 min,"Action, Crime, Thriller",6.1,"When a notorious criminal is forced to return to London, it gives a detective one last chance to take down the man he's always been after.","33,467",$0.01M
102 min,"Action, Adventure, Comedy",5.1,A government agent trains Cody Banks in the ways of covert operations that require younger participants.,"35,083",$47.94M
103 min,"Crime, Drama, Mystery",7,"After a tragic incident, a man drifts into a world populated by thugs and speed junkies.","30,981",$0.76M
112 min,Drama,7.5,"A bus crash in a small town brings a lawyer to the town to defend the families, but he discovers that everything is not what it seems.","35,141",$3.25M
92 min,"Comedy, Drama, Fantasy",7,It takes a tragedy to teach the young businessman Ian to put love ahead of work and open up to his musician girlfriend Samantha.,"32,608",
105 min,"Comedy, Romance",5.5,A soon-to-be-married man encounters an exciting stranger after his plane suffers an accident on takeoff.,"34,422",$52.89M
100 min,"Animation, Drama, Mystery",7.4,"In the year 2032, Batô, a cyborg detective for the anti-terrorist unit Public Security Section 9, investigates the case of a female robot--one created solely for sexual pleasure--who slaughtered her owner.","38,407",$1.04M
117 min,"Action, Drama, History",6.7,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,"66,707",$27.57M
106 min,"Comedy, Family, Romance",6,"George Banks must deal not only with his daughter's pregnancy, but also with his wife's.","38,160",$76.59M
63 min,"Animation, Drama, Family",7.5,"Told in three interconnected segments, we follow a young man named Takaki through his life as cruel winters, cold technology, and finally, adult obligations and responsibility converge to test the delicate petals of love.","57,602",
106 min,"Action, Crime, Drama",6.5,The investigation into a kidnapping of the daughter of a high-ranking US government official.,"31,983",$4.43M
87 min,"Horror, Mystery",4,"Several people start receiving voice-mails from their future selves - messages which include the date, time, and some of the details of their deaths.","32,408",$26.88M
82 min,"Horror, Sci-Fi, Thriller",6.1,"Trapped in an isolated gas station by a voracious Splinter parasite that transforms its still-living victims into deadly hosts, a young couple and an escaped convict must find a way to work together to survive this primal terror.","37,727",
94 min,Comedy,4.9,"Two straight men mistakenly end up on a ""gays only"" cruise.","31,448",$8.59M
85 min,"Horror, Mystery, Thriller",5.2,"A newly married couple discovers disturbing, ghostly images in photographs they develop after a tragic accident. Fearing the manifestations may be connected, they investigate and learn that some mysteries are better left unsolved.","34,343",$25.93M
