runtime,genre,rating,about,votes,gross_earn
119 min,"Action, Adventure, Fantasy",5.8,"Teenager Darren Shan meets a mysterious man at a freak show who turns out to be a vampire. After a series of events, Darren must leave his normal life and go on the road with the Cirque du Freak, becoming a creature of the night.","45,201",$14.05M
158 min,"Action, Adventure, Drama",7.5,"A team of Allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held Greek island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.","51,139",$28.90M
100 min,"Action, Adventure, Thriller",5.5,"Casey Ryback hops on a Colorado to LA train to start a vacation with his niece. Early into the trip, terrorists board the train and use it as a mobile HQ to hijack a top secret destructive US satellite.","46,970",$50.02M
90 min,"Action, Comedy",5.6,"Former special operative MacGruber is called back into action to take down his arch-enemy, Dieter Von Cunth, who's in possession of a nuclear warhead and bent on destroying Washington, D.C.","45,510",$8.46M
97 min,"Comedy, Romance",4.9,"After getting fired and finding out her husband is cheating, Tammy hits the road with her profane, alcoholic grandmother.","51,798",$84.53M
103 min,"Comedy, Crime",6.8,"Dave is deaf, and Wally is blind. They witness a murder, but it was Dave who was looking at her, and Wally who was listening.","54,503",$46.91M
97 min,"Comedy, Drama, Romance",6.3,"After withdrawing to the Chateau Marmont, a passionless Hollywood actor reexamines his life when his eleven-year-old daughter surprises him with a visit.","44,933",$1.77M
108 min,"Drama, Romance",7.2,"A poet falls in love with an art student who gravitates to his bohemian lifestyle -- and his love of heroin. Hooked as much on one another as they are on the drug, their relationship alternates between states of oblivion, self-destruction, and despair.","45,748",$0.04M
94 min,"Action, Crime, Drama",6,An FBI deep-woods tracker attempts to capture a trained assassin who has made a sport of hunting humans.,"47,684",$34.24M
117 min,"Biography, Crime, Drama",5.4,A tale of an inner city drug dealer who turns away from a life of crime to pursue his passion of rap music.,"47,319",$30.98M
96 min,"Mystery, Thriller",7.8,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.","52,501",
84 min,"Action, Comedy",7.3,"Black Dynamite is the greatest African-American action star of the 1970s. When his only brother is killed by The Man, it's up to him to find justice.","49,124",$0.23M
124 min,"Biography, Drama, Sport",7,A sports agent stages an unconventional recruitment strategy to get talented Indian cricket players to play Major League Baseball.,"46,031",$36.45M
115 min,Drama,6.9,"After developing an addiction to the substance he uses to kill bugs, an exterminator accidentally kills his wife, and becomes involved in a secret government plot being orchestrated by giant bugs in a port town in North Africa.","51,724",$2.54M
124 min,"Comedy, Drama",7,Three Buckman siblings attempt to raise their children - each in their own different style - and deal with the joys and sorrows that the process brings.,"49,772",$100.05M
102 min,"Action, Drama, Horror",6.4,"Set during the time of the first outbreak of bubonic plague in England, a young monk is given the task of learning the truth about reports of people being brought back to life in a small village.","48,146",$0.02M
113 min,"Comedy, Drama, Romance",6.7,A writer impulsively buys a villa in Tuscany in order to change her life.,"53,001",$43.61M
89 min,"Action, Adventure, Sci-Fi",3.8,Two British Agents team up to stop Sir August de Wynter from destroying the world with a weather-changing machine.,"43,882",$23.32M
122 min,"Comedy, Drama",6.1,A video store clerk agrees to have his life filmed by a camera crew for a television show.,"43,534",$22.36M
140 min,"Action, Drama, History",6.5,"The adventures of the Lafayette Escadrille, young Americans who volunteered for the French military before the U.S. entered World War I, and became the country's first fighter pilots.","42,916",$13.08M
96 min,Comedy,7.3,"Suffering from writer's block and eagerly awaiting his writing award, Harry Block remembers events from his past and scenes from his best-selling books as characters, real and fictional, come back to haunt him.","45,190",$10.69M
106 min,"Comedy, Drama, Music",6.1,"A romantic comedy where a bored, overworked Estate Lawyer, upon first sight of a beautiful instructor, signs up for ballroom dancing lessons.","47,153",$57.89M
85 min,"Action, Adventure, Drama",6,"As a lethal virus spreads globally, four friends seek a reputed plague-free haven. But while avoiding the infected, the travelers turn on one another.","47,272",$0.09M
112 min,"Biography, Drama, Family",7,Teenage surfer Bethany Hamilton overcomes the odds and her own fears of returning to the water after losing her left arm in a shark attack.,"49,745",$43.85M
97 min,"Animation, Adventure, Comedy",7.1,Santa's clumsy son Arthur sets out on a mission with Grandsanta to give out a present they misplaced to a young girl in less than two hours.,"58,835",$46.46M
102 min,"Comedy, Drama, Romance",7.1,"Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.","59,644",$80.64M
109 min,"Crime, Drama",7.8,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.","45,697",$0.18M
90 min,"Comedy, Crime, Sport",5.3,"Down-and-out former professional ping-pong phenom, Randy Daytona, is sucked into a maelstrom when FBI Agent Ernie Rodriguez recruits him for a secret mission. Randy is determined to bounce back and win, and to smoke out his father's killer -- arch-fiend Feng.","42,806",$32.84M
117 min,"Crime, Mystery, Thriller",7.4,"A bookish CIA researcher in Manhattan finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust.","55,797",$41.51M
106 min,"Biography, Crime, Drama",7,"The true story of Danny Greene, a tough Irish thug working for mobsters in Cleveland during the 1970's.","48,688",$1.19M
131 min,"Adventure, Drama, Thriller",8.2,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","60,898",
106 min,"Comedy, Drama, Romance",6.5,A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.,"46,142",$52.89M
191 min,"Action, Adventure, Biography",6.7,"From Wichita to Dodge City, to the O.K. Corral in Tombstone, a man becomes a myth in this thrilling journey of romance, adventure, and desperate heroic action.","51,059",$25.05M
94 min,"Comedy, Crime, Drama",7.7,A neo-Nazi sentenced to community service at a church clashes with the blindly devoted minister.,"50,694",$0.00M
93 min,"Comedy, Family, Fantasy",6.2,"The young apprentice of a magical, eccentric toy store owner learns to believe in herself, and in her friends, upon learning some grave news about the future.","45,867",$32.06M
105 min,"Drama, Horror, Thriller",7.6,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.,"53,159",
188 min,"Comedy, Drama",7.7,The day-to-day lives of several suburban Los Angeles residents.,"44,934",$6.11M
134 min,"Comedy, Crime, Musical",6.3,"After putting together another Broadway flop, down-on-his-luck producer Max Bialystock teams up with timid accountant Leo Bloom in a get-rich-quick scheme to put on the world's worst show.","42,919",$19.38M
95 min,"Drama, Music, Romance",6.2,A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.,"53,369",$94.90M
124 min,Drama,7.7,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son.","52,114",$54.80M
119 min,"Biography, Comedy, Drama",7.8,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,"56,929",
92 min,"Horror, Thriller",4.8,A young woman travels to Texas to collect an inheritance; little does she know that an encounter with a chainsaw-wielding killer is part of the reward.,"51,396",$34.34M
103 min,"Horror, Sci-Fi, Thriller",6.7,"A scientist trains a man with an advanced telepathic ability called ""scanning"", to stop a dangerous Scanner with extraordinary psychic powers from waging war against non scanners.","55,100",$14.23M
121 min,"Comedy, Drama, Romance",5.4,"After being cut from the U.S.A. softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau.","50,657",$30.21M
