director,stars
Sam Mendes,"('Daniel Craig',), ('Javier Bardem',), ('Naomie Harris',), ('Judi Dench',)"
Gore Verbinski,"('Johnny Depp',), ('Orlando Bloom',), ('Keira Knightley',), ('Jack Davenport',)"
Jon Favreau,"('Robert Downey Jr.',), ('Mickey Rourke',), ('Gwyneth Paltrow',), ('Don Cheadle',)"
George Lucas,"('Hayden Christensen',), ('Natalie Portman',), ('Ewan McGregor',), ('Samuel L. Jackson',)"
Matthew Vaughn,"('James McAvoy',), ('Michael Fassbender',), ('Jennifer Lawrence',), ('Kevin Bacon',)"
Steven Spielberg,"('Harrison Ford',), ('Sean Connery',), ('Alison Doody',), ('Denholm Elliott',)"
Michael Bay,"('Shia LaBeouf',), ('Megan Fox',), ('Josh Duhamel',), ('Tyrese Gibson',)"
Bryan Singer,"('Patrick Stewart',), ('Ian McKellen',), ('Hugh Jackman',), ('James McAvoy',)"
Quentin Tarantino,"('Uma Thurman',), ('David Carradine',), ('Michael Madsen',), ('Daryl Hannah',)"
Joe Johnston,"('Chris Evans',), ('Hugo Weaving',), ('Samuel L. Jackson',), ('Hayley Atwell',)"
Martin Scorsese,"('Robert De Niro',), ('Jodie Foster',), ('Cybill Shepherd',), ('Albert Brooks',)"
J.J. Abrams,"('Chris Pine',), ('Zachary Quinto',), ('Simon Pegg',), ('Leonard Nimoy',)"
Tom Hooper,"('Colin Firth',), ('Geoffrey Rush',), ('Helena Bonham Carter',), ('Derek Jacobi',)"
Sergio Leone,"('Clint Eastwood',), ('Eli Wallach',), ('Lee Van Cleef',), ('Aldo Giuffrè',)"
Olivier Nakache,"('Éric Toledano',), ('François Cluzet',), ('Omar Sy',), ('Anne Le Ny',)"
Francis Lawrence,"('Jennifer Lawrence',), ('Josh Hutcherson',), ('Liam Hemsworth',), ('Philip Seymour Hoffman',)"
Roman Polanski,"('Adrien Brody',), ('Thomas Kretschmann',), ('Frank Finlay',), ('Emilia Fox',)"
Anthony Russo,"('Joe Russo',), ('Chris Evans',), ('Samuel L. Jackson',), ('Scarlett Johansson',)"
Paul Greengrass,"('Matt Damon',), ('Edgar Ramírez',), ('Joan Allen',), ('Julia Stiles',)"
James Cameron,"('Sigourney Weaver',), ('Michael Biehn',), ('Carrie Henn',), ('Paul Reiser',)"
Dean DeBlois,"('Chris Sanders',), ('Jay Baruchel',), ('Gerard Butler',), ('Christopher Mintz-Plasse',)"
Stanley Kubrick,"('Matthew Modine',), ('R. Lee Ermey',), (""Vincent D'Onofrio"",), ('Adam Baldwin',)"
Pierre Morel,"('Liam Neeson',), ('Maggie Grace',), ('Famke Janssen',), ('Leland Orser',)"
Peter Jackson,"('Ian McKellen',), ('Martin Freeman',), ('Richard Armitage',), ('Ken Stott',)"
Clint Eastwood,"('Hilary Swank',), ('Clint Eastwood',), ('Morgan Freeman',), ('Jay Baruchel',)"
David Fincher,"('Jesse Eisenberg',), ('Andrew Garfield',), ('Justin Timberlake',), ('Rooney Mara',)"
Brad Bird,"('Craig T. Nelson',), ('Samuel L. Jackson',), ('Holly Hunter',), ('Jason Lee',)"
Guy Ritchie,"('Robert Downey Jr.',), ('Jude Law',), ('Rachel McAdams',), ('Mark Strong',)"
Wes Anderson,"('Ralph Fiennes',), ('F. Murray Abraham',), ('Mathieu Amalric',), ('Adrien Brody',)"
Brad Bird,"('Jan Pinkava',), ('Brad Garrett',), ('Lou Romano',), ('Patton Oswalt',)"
Seth MacFarlane,"('Mark Wahlberg',), ('Mila Kunis',), ('Seth MacFarlane',), ('Joel McHale',)"
Gore Verbinski,"('Johnny Depp',), ('Orlando Bloom',), ('Keira Knightley',), ('Geoffrey Rush',)"
Martin Campbell,"('Daniel Craig',), ('Eva Green',), ('Judi Dench',), ('Jeffrey Wright',)"
Tim Miller,"('Ryan Reynolds',), ('Morena Baccarin',), ('T.J. Miller',), ('Ed Skrein',)"
Danny Boyle,"('Ewan McGregor',), ('Ewen Bremner',), ('Jonny Lee Miller',), ('Kevin McKidd',)"
Ridley Scott,"('Matt Damon',), ('Jessica Chastain',), ('Kristen Wiig',), ('Kate Mara',)"
Guillermo del Toro,"('Ivana Baquero',), ('Ariadna Gil',), ('Sergi López',), ('Maribel Verdú',)"
Andrew Adamson,"('Vicky Jenson',), ('Mike Myers',), ('Eddie Murphy',), ('Cameron Diaz',)"
Morten Tyldum,"('Benedict Cumberbatch',), ('Keira Knightley',), ('Matthew Goode',), ('Allen Leech',)"
Marc Forster,"('Brad Pitt',), ('Mireille Enos',), ('Daniella Kertesz',), ('James Badge Dale',)"
George Lucas,"('Hayden Christensen',), ('Natalie Portman',), ('Ewan McGregor',), ('Christopher Lee',)"
Terry Gilliam,"('Bruce Willis',), ('Madeleine Stowe',), ('Brad Pitt',), ('Joseph Melito',)"
Ridley Scott,"('Harrison Ford',), ('Rutger Hauer',), ('Sean Young',), ('Edward James Olmos',)"
Joss Whedon,"('Robert Downey Jr.',), ('Chris Evans',), ('Mark Ruffalo',), ('Chris Hemsworth',)"
David Fincher,"('Brad Pitt',), ('Cate Blanchett',), ('Tilda Swinton',), ('Julia Ormond',)"
Ridley Scott,"('Noomi Rapace',), ('Logan Marshall-Green',), ('Michael Fassbender',), ('Charlize Theron',)"
Joel Coen,"('Ethan Coen',), ('William H. Macy',), ('Frances McDormand',), ('Steve Buscemi',)"
Bryan Singer,"('Patrick Stewart',), ('Hugh Jackman',), ('Ian McKellen',), ('Famke Janssen',)"
Ben Affleck,"('Ben Affleck',), ('Bryan Cranston',), ('John Goodman',), ('Alan Arkin',)"
Marc Webb,"('Andrew Garfield',), ('Emma Stone',), ('Rhys Ifans',), ('Irrfan Khan',)"
Francis Ford Coppola,"('Martin Sheen',), ('Marlon Brando',), ('Robert Duvall',), ('Frederic Forrest',)"
Sidney Lumet,"('Henry Fonda',), ('Lee J. Cobb',), ('Martin Balsam',), ('John Fiedler',)"
Louis Leterrier,"('Jesse Eisenberg',), ('Common',), ('Mark Ruffalo',), ('Woody Harrelson',)"
Chris Columbus,"('Daniel Radcliffe',), ('Rupert Grint',), ('Richard Harris',), ('Maggie Smith',)"
Ang Lee,"('Suraj Sharma',), ('Irrfan Khan',), ('Adil Hussain',), ('Tabu',)"
Steve McQueen,"('Chiwetel Ejiofor',), ('Michael Kenneth Williams',), ('Michael Fassbender',), ('Brad Pitt',)"
Harold Ramis,"('Bill Murray',), ('Andie MacDowell',), ('Chris Elliott',), ('Stephen Tobolowsky',)"
Matthew Vaughn,"('Aaron Taylor-Johnson',), ('Nicolas Cage',), ('Chloë Grace Moretz',), ('Garrett M. Brown',)"
Nicolas Winding Refn,"('Ryan Gosling',), ('Carey Mulligan',), ('Bryan Cranston',), ('Albert Brooks',)"
Michael Mann,"('Al Pacino',), ('Robert De Niro',), ('Val Kilmer',), ('Jon Voight',)"
Doug Liman,"('Tom Cruise',), ('Emily Blunt',), ('Bill Paxton',), ('Brendan Gleeson',)"
Roland Emmerich,"('Will Smith',), ('Bill Pullman',), ('Jeff Goldblum',), ('Mary McDonnell',)"
Rian Johnson,"('Joseph Gordon-Levitt',), ('Bruce Willis',), ('Emily Blunt',), ('Paul Dano',)"
Stanley Kubrick,"('Keir Dullea',), ('Gary Lockwood',), ('William Sylvester',), ('Daniel Richter',)"
Sean Penn,"('Emile Hirsch',), ('Vince Vaughn',), ('Catherine Keener',), ('Marcia Gay Harden',)"
Greg Mottola,"('Michael Cera',), ('Jonah Hill',), ('Christopher Mintz-Plasse',), ('Bill Hader',)"
Alfred Hitchcock,"('Anthony Perkins',), ('Janet Leigh',), ('Vera Miles',), ('John Gavin',)"
Lana Wachowski,"('Lilly Wachowski',), ('Keanu Reeves',), ('Laurence Fishburne',), ('Carrie-Anne Moss',)"
Chris Buck,"('Jennifer Lee',), ('Kristen Bell',), ('Idina Menzel',), ('Jonathan Groff',)"
Roberto Benigni,"('Roberto Benigni',), ('Nicoletta Braschi',), ('Giorgio Cantarini',), ('Giustino Durano',)"
Neil Burger,"('Bradley Cooper',), ('Anna Friel',), ('Abbie Cornish',), ('Robert De Niro',)"
Colin Trevorrow,"('Chris Pratt',), ('Bryce Dallas Howard',), ('Ty Simpkins',), ('Judy Greer',)"
Hayao Miyazaki,"('Daveigh Chase',), ('Suzanne Pleshette',), ('Miyu Irino',), ('Rumi Hiiragi',)"
Guy Ritchie,"('Jason Flemyng',), ('Dexter Fletcher',), ('Nick Moran',), ('Jason Statham',)"
Jason Reitman,"('Elliot Page',), ('Michael Cera',), ('Jennifer Garner',), ('Jason Bateman',)"
Curtis Hanson,"('Kevin Spacey',), ('Russell Crowe',), ('Guy Pearce',), ('Kim Basinger',)"
Alan Taylor,"('Chris Hemsworth',), ('Natalie Portman',), ('Tom Hiddleston',), ('Stellan Skarsgård',)"
Steven Spielberg,"('Roy Scheider',), ('Robert Shaw',), ('Richard Dreyfuss',), ('Lorraine Gary',)"
Sam Raimi,"('Tobey Maguire',), ('Kirsten Dunst',), ('Alfred Molina',), ('James Franco',)"
Phil Lord,"('Christopher Miller',), ('Jonah Hill',), ('Channing Tatum',), ('Ice Cube',)"
Bryan Singer,"('Patrick Stewart',), ('Hugh Jackman',), ('Halle Berry',), ('Ian McKellen',)"
Doug Liman,"('Franka Potente',), ('Matt Damon',), ('Chris Cooper',), ('Clive Owen',)"
Rupert Wyatt,"('James Franco',), ('Andy Serkis',), ('Freida Pinto',), ('Karin Konoval',)"
Barry Sonnenfeld,"('Tommy Lee Jones',), ('Will Smith',), ('Linda Fiorentino',), (""Vincent D'Onofrio"",)"
Steven Soderbergh,"('George Clooney',), ('Brad Pitt',), ('Julia Roberts',), ('Matt Damon',)"
Alejandro G. Iñárritu,"('Leonardo DiCaprio',), ('Tom Hardy',), ('Will Poulter',), ('Domhnall Gleeson',)"
Edward Zwick,"('Leonardo DiCaprio',), ('Djimon Hounsou',), ('Jennifer Connelly',), ('Kagiso Kuypers',)"
Steven Spielberg,"('Tom Cruise',), ('Colin Farrell',), ('Samantha Morton',), ('Max von Sydow',)"
Damien Chazelle,"('Miles Teller',), ('J.K. Simmons',), ('Melissa Benoist',), ('Paul Reiser',)"
Matthew Vaughn,"('Colin Firth',), ('Taron Egerton',), ('Samuel L. Jackson',), ('Michael Caine',)"
Nick Cassavetes,"('Gena Rowlands',), ('James Garner',), ('Rachel McAdams',), ('Ryan Gosling',)"
Edgar Wright,"('Simon Pegg',), ('Nick Frost',), ('Kate Ashfield',), ('Lucy Davis',)"
Robert Zemeckis,"('Tom Hanks',), ('Helen Hunt',), ('Paul Sanchez',), ('Lari White',)"
J.J. Abrams,"('Chris Pine',), ('Zachary Quinto',), ('Zoe Saldana',), ('Benedict Cumberbatch',)"
