director,stars
Les Mayfield,"('Samuel L. Jackson',), ('Eugene Levy',), ('Miguel Ferrer',), ('Luke Goss',)"
Peter Medak,"('George C. Scott',), ('Trish Van Devere',), ('Melvyn Douglas',), ('Jean Marsh',)"
Tigmanshu Dhulia,"('Irrfan Khan',), ('Mahie Gill',), ('Rajesh Abhay',), ('Hemendra Dandotiya',)"
Michael Powell,"('Karlheinz Böhm',), ('Anna Massey',), ('Moira Shearer',), ('Maxine Audley',)"
Leo McCarey,"('Cary Grant',), ('Deborah Kerr',), ('Richard Denning',), ('Neva Patterson',)"
François Ozon,"('Marine Vacth',), ('Géraldine Pailhas',), ('Frédéric Pierrot',), ('Fantin Ravat',)"
Ate de Jong,"('Phoebe Cates',), ('Rik Mayall',), ('Marsha Mason',), ('Tim Matheson',)"
Peter Bonerz,"('Bubba Smith',), ('David Graf',), ('Michael Winslow',), ('Leslie Easterbrook',)"
Kenneth Branagh,"('Kenneth Branagh',), ('Emma Thompson',), ('Andy Garcia',), ('Lois Hall',)"
Sergio Leone,"('Rod Steiger',), ('James Coburn',), ('Romolo Valli',), ('Maria Monti',)"
Gregory Dark,"('Glenn Jacobs',), ('Christina Vidal',), ('Michael J. Pagan',), ('Samantha Noble',)"
Guy Ferland,"('Diego Luna',), ('Romola Garai',), ('Sela Ward',), ('John Slattery',)"
Guillem Morales,"('Belén Rueda',), ('Lluís Homar',), ('Pablo Derqui',), ('Francesc Orella',)"
Roger Spottiswoode,"('Mel Gibson',), ('Robert Downey Jr.',), ('Nancy Travis',), ('Ken Jenkins',)"
Danny Boyle,"('Alex Etel',), ('James Nesbitt',), ('Daisy Donovan',), ('Lewis McGibbon',)"
Raja Gosnell,"('Dennis Quaid',), ('Rene Russo',), (""Jerry O'Connell"",), ('Sean Faris',)"
Buster Keaton,"('Buster Keaton',), ('Kathryn McGuire',), ('Joe Keaton',), ('Erwin Connelly',)"
Liz Friedlander,"('Antonio Banderas',), ('Rob Brown',), ('Yaya DaCosta',), ('Alfre Woodard',)"
Stephen Herek,"('Christina Applegate',), ('Joanna Cassidy',), ('John Getz',), ('Josh Charles',)"
John Carpenter,"('Christopher Reeve',), ('Kirstie Alley',), ('Linda Kozlowski',), ('Michael Paré',)"
Courtney Hunt,"('Melissa Leo',), ('Misty Upham',), ('Charlie McDermott',), (""Michael O'Keefe"",)"
Bruce Malmuth,"('Steven Seagal',), ('Kelly LeBrock',), ('William Sadler',), ('Frederick Coffin',)"
Peter Weir,"('Harrison Ford',), ('Helen Mirren',), ('River Phoenix',), ('Jadrien Steele',)"
Rohit Shetty,"('Shah Rukh Khan',), ('Kajol',), ('Varun Dhawan',), ('Kriti Sanon',)"
James McTeigue,"('Milla Jovovich',), ('Pierce Brosnan',), ('Dylan McDermott',), ('Paddy Wallace',)"
Wes Craven,"('Susan Lanier',), ('Robert Houston',), ('John Steadman',), ('Janus Blythe',)"
Marc Rocco,"('Christian Slater',), ('Kevin Bacon',), ('Gary Oldman',), ('Embeth Davidtz',)"
Bob Clark,"('Olivia Hussey',), ('Keir Dullea',), ('Margot Kidder',), ('John Saxon',)"
Alan Metter,"('Rodney Dangerfield',), ('Sally Kellerman',), ('Burt Young',), ('Keith Gordon',)"
Francis Veber,"('Gérard Depardieu',), ('Jean Reno',), ('Richard Berry',), ('André Dussollier',)"
Chris Rock,"('Chris Rock',), ('Rosario Dawson',), ('Gabrielle Union',), ('Kevin Hart',)"
Leslye Headland,"('Jason Sudeikis',), ('Alison Brie',), ('Jordan Carlos',), ('Margarita Levieva',)"
Robin Swicord,"('Kathy Baker',), ('Hugh Dancy',), ('Amy Brenneman',), ('Maria Bello',)"
Martin Scorsese,"('Tenzin Thuthob Tsarong',), ('Gyurme Tethong',), ('Tulku Jamyang Kunga Tenzin',), ('Tenzin Yeshi Paichang',)"
Michael Lembeck,"('Tim Allen',), ('Martin Short',), ('Elizabeth Mitchell',), ('Eric Lloyd',)"
Lynn Shelton,"('Mark Duplass',), ('Emily Blunt',), ('Rosemarie DeWitt',), ('Mike Birbiglia',)"
Woody Allen,"('Woody Allen',), ('Téa Leoni',), ('Bob Dorian',), ('Ivan Martin',)"
Richard C. Sarafian,"('Barry Newman',), ('Cleavon Little',), ('Charlotte Rampling',), ('Dean Jagger',)"
Gregor Jordan,"('Heath Ledger',), ('Orlando Bloom',), ('Geoffrey Rush',), ('Naomi Watts',)"
Jason Bloom,"('Pauly Shore',), ('Stephen Baldwin',), ('William Atherton',), ('Denise Dowse',)"
Scott McGehee,"('David Siegel',), ('Julianne Moore',), ('Alexander Skarsgård',), ('Steve Coogan',)"
Joseph L. Mankiewicz,"('Elizabeth Taylor',), ('Richard Burton',), ('Rex Harrison',), ('Pamela Brown',)"
Jez Butterworth,"('Nicole Kidman',), ('Vincent Cassel',), ('Ben Chaplin',), ('Mathieu Kassovitz',)"
Hyung-rae Shim,"('Jason Behr',), ('Amanda Brooks',), ('Robert Forster',), ('Craig Robinson',)"
Antti J. Jokinen,"('Hilary Swank',), ('Jeffrey Dean Morgan',), ('Lee Pace',), ('Christopher Lee',)"
Gonzalo López-Gallego,"('Sharlto Copley',), ('Thomas Kretschmann',), ('Josie Ho',), ('Joseph Morgan',)"
Walter Hill,"('Wesley Snipes',), ('Ving Rhames',), ('Peter Falk',), ('Michael Rooker',)"
Lesli Linka Glatter,"('Christina Ricci',), ('Demi Moore',), (""Rosie O'Donnell"",), ('Thora Birch',)"
Woody Allen,"('Woody Allen',), ('Mia Farrow',), ('Sydney Pollack',), ('Judy Davis',)"
Peter Hyams,"('Sean Connery',), ('Frances Sternhagen',), ('Peter Boyle',), ('James Sikking',)"
Steven Soderbergh,"('George Clooney',), ('Cate Blanchett',), ('Tobey Maguire',), ('Beau Bridges',)"
Jim Abrahams,"('David Zucker',), ('Jerry Zucker',), ('Bette Midler',), ('Danny DeVito',)"
Jay Levey,"(""'Weird Al' Yankovic"",), ('Victoria Jackson',), ('Kevin McCarthy',), ('Michael Richards',)"
Christian Carion,"('Diane Kruger',), ('Benno Fürmann',), ('Guillaume Canet',), ('Natalie Dessay',)"
John Stockwell,"('Kirsten Dunst',), ('Jay Hernandez',), ('Bruce Davison',), ('Herman Osorio',)"
Wilson Yip,"('Donnie Yen',), ('Lynn Xiong',), ('Jin Zhang',), ('Mike Tyson',)"
Steve Oedekerk,"('Kevin James',), ('Courteney Cox',), ('Danny Glover',), ('Sam Elliott',)"
Kevin Macdonald,"('Saoirse Ronan',), ('Tom Holland',), ('George MacKay',), ('Harley Bird',)"
Bruce Campbell,"('Bruce Campbell',), ('Grace Thorsen',), ('Taylor Sharpe',), ('Ted Raimi',)"
Mark Rydell,"('Katharine Hepburn',), ('Henry Fonda',), ('Jane Fonda',), ('Doug McKeon',)"
Luis Valdez,"('Lou Diamond Phillips',), ('Esai Morales',), ('Rosanna DeSoto',), ('Elizabeth Peña',)"
Sydney Pollack,"('Robert Redford',), ('Will Geer',), ('Delle Bolton',), ('Josh Albee',)"
Greg McLean,"('Michael Vartan',), ('Radha Mitchell',), ('Sam Worthington',), ('Caroline Brazier',)"
Andrei Tarkovsky,"('Margarita Terekhova',), ('Filipp Yankovskiy',), ('Ignat Daniltsev',), ('Oleg Yankovskiy',)"
Jane Campion,"('Abbie Cornish',), ('Ben Whishaw',), ('Paul Schneider',), ('Kerry Fox',)"
Steve Gordon,"('Dudley Moore',), ('Liza Minnelli',), ('John Gielgud',), ('Geraldine Fitzgerald',)"
Les Mayfield,"('Richard Attenborough',), ('Elizabeth Perkins',), ('Dylan McDermott',), ('J.T. Walsh',)"
Michael Hoffman,"('Kevin Kline',), ('Michelle Pfeiffer',), ('Rupert Everett',), ('Stanley Tucci',)"
Thomas Carter,"('Eddie Murphy',), ('Michael Rapaport',), ('Kim Miyori',), ('Art Evans',)"
Michael Caton-Jones,"('Robert De Niro',), ('James Franco',), ('Frances McDormand',), ('Eliza Dushku',)"
Levent Semerci,"('Mete Horozoglu',), ('Ilker Kizmaz',), ('Baris Bagci',), ('Özgür Eren Koç',)"
John Carl Buechler,"('Terry Kiser',), ('Jennifer Banko',), ('John Otrin',), ('Susan Blu',)"
Kunal Kohli,"('Aamir Khan',), ('Kajol',), ('Rishi Kapoor',), ('Tabu',)"
Tommy Lee Jones,"('Tommy Lee Jones',), ('Hilary Swank',), ('Grace Gummer',), ('Miranda Otto',)"
Terry Jones,"('Simon Pegg',), ('Kate Beckinsale',), ('Sanjeev Bhaskar',), ('Rob Riggle',)"
Howard Hawks,"('Arthur Rosson',), ('John Wayne',), ('Montgomery Clift',), ('Joanne Dru',)"
Michael Curtiz,"('Bing Crosby',), ('Danny Kaye',), ('Rosemary Clooney',), ('Vera-Ellen',)"
Fredrik Bond,"('Shia LaBeouf',), ('Evan Rachel Wood',), ('Mads Mikkelsen',), ('Til Schweiger',)"
Harold Becker,"('John Travolta',), ('Nick Loren',), (""Matt O'Leary"",), ('Ruben Santiago-Hudson',)"
James L. Brooks,"('William Hurt',), ('Albert Brooks',), ('Holly Hunter',), ('Robert Prosky',)"
Jeff Lowell,"('Eva Longoria',), ('Paul Rudd',), ('Lake Bell',), ('Jason Biggs',)"
James Ivory,"('Anthony Hopkins',), ('Emma Thompson',), ('Vanessa Redgrave',), ('Helena Bonham Carter',)"
Kirk Jones,"('Ian Bannen',), ('David Kelly',), ('Fionnula Flanagan',), ('Susan Lynch',)"
Anand Tucker,"('Steve Martin',), ('Claire Danes',), ('Jason Schwartzman',), ('Bridgette Wilson-Sampras',)"
Isabel Coixet,"('Sarah Polley',), ('Scott Speedman',), ('Mark Ruffalo',), ('Leonor Watling',)"
Justin Chadwick,"('Idris Elba',), ('Naomie Harris',), ('Terry Pheto',), ('Robert Hobbs',)"
John Waters,"('Kathleen Turner',), ('Sam Waterston',), ('Ricki Lake',), ('Matthew Lillard',)"
Richard Shepard,"('Jude Law',), ('Richard E. Grant',), ('Demián Bichir',), ('Emilia Clarke',)"
Eli Roth,"('Lorenza Izzo',), ('Ariel Levy',), ('Aaron Burns',), ('Kirby Bliss Blanton',)"
Andy Fickman,"('Billy Crystal',), ('Bette Midler',), ('Marisa Tomei',), ('Tom Everett Scott',)"
Wayne Wang,"('Queen Latifah',), ('LL Cool J',), ('Timothy Hutton',), ('Giancarlo Esposito',)"
Kabir Khan,"('Salman Khan',), ('Katrina Kaif',), ('Girish Karnad',), ('Roshan Seth',)"
Bruno Barreto,"('Gwyneth Paltrow',), ('Christina Applegate',), ('Kelly Preston',), ('Mark Ruffalo',)"
Beeban Kidron,"('Wesley Snipes',), ('Patrick Swayze',), ('John Leguizamo',), ('Stockard Channing',)"
Allan Moyle,"('Christian Slater',), ('Samantha Mathis',), ('Anthony Lucero',), ('Andy Romano',)"
Jean-Pierre Dardenne,"('Luc Dardenne',), ('Thomas Doret',), ('Cécile de France',), ('Jérémie Renier',)"
Dario Argento,"('David Hemmings',), ('Daria Nicolodi',), ('Gabriele Lavia',), ('Macha Méril',)"
Renny Harlin,"('Geena Davis',), ('Matthew Modine',), ('Frank Langella',), ('Maury Chaykin',)"
Barry Levinson,"('Warren Beatty',), ('Annette Bening',), ('Harvey Keitel',), ('Ben Kingsley',)"
Richard Benjamin,"('Dan Aykroyd',), ('Kim Basinger',), ('Jon Lovitz',), ('Alyson Hannigan',)"
Richard J. Lewis,"('Paul Giamatti',), ('Rosamund Pike',), ('Jake Hoffman',), ('Macha Grenon',)"
Takeshi Kitano,"('Takeshi Kitano',), ('Kayoko Kishimoto',), ('Ren Ôsugi',), ('Susumu Terajima',)"
Terrence Malick,"('Ben Affleck',), ('Olga Kurylenko',), ('Javier Bardem',), ('Rachel McAdams',)"
Jeannot Szwarc,"('Christopher Reeve',), ('Jane Seymour',), ('Christopher Plummer',), ('Teresa Wright',)"
Randall Wallace,"('Greg Kinnear',), ('Kelly Reilly',), ('Thomas Haden Church',), ('Connor Corum',)"
Pascal Chaumeil,"('Romain Duris',), ('Vanessa Paradis',), ('Julie Ferrier',), ('François Damiens',)"
Sam Peckinpah,"('Steve McQueen',), ('Ali MacGraw',), ('Ben Johnson',), ('Sally Struthers',)"
Edward Zwick,"('Tobey Maguire',), ('Liev Schreiber',), ('Peter Sarsgaard',), ('Michael Stuhlbarg',)"
William Friedkin,"('William Petersen',), ('Willem Dafoe',), ('John Pankow',), ('Debra Feuer',)"
Richard Linklater,"('Greg Kinnear',), ('Bruce Willis',), ('Catalina Sandino Moreno',), ('Wilmer Valderrama',)"
Gauri Shinde,"('Sridevi',), ('Adil Hussain',), ('Mehdi Nebbou',), ('Priya Anand',)"
Andrey Konchalovskiy,"('Jon Voight',), ('Eric Roberts',), ('Rebecca De Mornay',), ('Kyle T. Heffner',)"
Harold Ramis,"('John Cusack',), ('Billy Bob Thornton',), ('Connie Nielsen',), ('Lara Phillips',)"
Julian Schnabel,"('Javier Bardem',), ('Johnny Depp',), ('Olatz López Garmendia',), ('Giovani Florido',)"
Noam Murro,"('Dennis Quaid',), ('Thomas Haden Church',), ('Sarah Jessica Parker',), ('Elliot Page',)"
Stephen Frears,"('Anjelica Huston',), ('John Cusack',), ('Annette Bening',), ('Jan Munroe',)"
Brian Robbins,"('Kel Mitchell',), ('Kenan Thompson',), ('Sinbad',), ('Abe Vigoda',)"
John Huston,"('Michael Caine',), ('Sylvester Stallone',), ('Pelé',), ('Bobby Moore',)"
Yimou Zhang,"('Gong Li',), ('Jingwu Ma',), ('Saifei He',), ('Cuifen Cao',)"
Randall Wallace,"('Diane Lane',), ('John Malkovich',), ('Margo Martindale',), ('Nelsan Ellis',)"
David R. Ellis,"('Sara Paxton',), ('Dustin Milligan',), ('Chris Carmack',), ('Katharine McPhee',)"
Joe Chappelle,"('Donald Pleasence',), ('Paul Rudd',), ('Marianne Hagan',), ('Mitchell Ryan',)"
Alexander Mackendrick,"('Alec Guinness',), ('Peter Sellers',), ('Cecil Parker',), ('Herbert Lom',)"
Stanley Kramer,"('Spencer Tracy',), ('Fredric March',), ('Gene Kelly',), ('Dick York',)"
Steven Zaillian,"('Sean Penn',), ('Jude Law',), ('Kate Winslet',), ('Anthony Hopkins',)"
Michael Apted,"('Ioan Gruffudd',), ('Albert Finney',), ('Michael Gambon',), ('Romola Garai',)"
Gregor Jordan,"('Joaquin Phoenix',), ('Anna Paquin',), ('Ed Harris',), ('Scott Glenn',)"
Gregg Araki,"('Shailene Woodley',), ('Eva Green',), ('Christopher Meloni',), ('Angela Bassett',)"
J Blakeson,"('Gemma Arterton',), ('Eddie Marsan',), ('Martin Compston',), ('',)"
Severin Fiala,"('Veronika Franz',), ('Lukas Schwarz',), ('Elias Schwarz',), ('Susanne Wuest',)"
Bill Kroyer,"('Samantha Mathis',), ('Christian Slater',), ('Robin Williams',), ('Tim Curry',)"
David Hogan,"('Pamela Anderson',), ('Amir AboulEla',), ('Adriana Alexander',), ('David Andriole',)"
Frank Oz,"('Hal Scardino',), ('Litefoot',), ('Lindsay Crouse',), ('Richard Jenkins',)"
Dan Fogelman,"('Al Pacino',), ('Annette Bening',), ('Jennifer Garner',), ('Bobby Cannavale',)"
James Bridges,"('Jane Fonda',), ('Jack Lemmon',), ('Michael Douglas',), ('Scott Brady',)"
W.S. Van Dyke,"('William Powell',), ('Myrna Loy',), (""Maureen O'Sullivan"",), ('Nat Pendleton',)"
Bob Hathcock,"('Alan Young',), ('Christopher Lloyd',), ('Terence McGovern',), ('Russi Taylor',)"
David Barrett,"('Josh Duhamel',), ('Bruce Willis',), ('Rosario Dawson',), (""Vincent D'Onofrio"",)"
Franklin J. Schaffner,"('Gregory Peck',), ('Laurence Olivier',), ('James Mason',), ('Lilli Palmer',)"
James Bobin,"('Mia Wasikowska',), ('Johnny Depp',), ('Helena Bonham Carter',), ('Anne Hathaway',)"
George Roy Hill,"('Robin Williams',), ('Mary Beth Hurt',), ('Glenn Close',), ('John Lithgow',)"
Raoul Walsh,"('James Cagney',), ('Virginia Mayo',), (""Edmond O'Brien"",), ('Margaret Wycherly',)"
Peter Bogdanovich,"('Cher',), ('Eric Stoltz',), ('Sam Elliott',), ('Estelle Getty',)"
Douglas Trumbull,"('Bruce Dern',), ('Cliff Potts',), ('Ron Rifkin',), ('Jesse Vint',)"
Roland Joffé,"('Elisha Cuthbert',), ('Daniel Gillies',), ('Pruitt Taylor Vince',), ('Michael Harney',)"
Cal Brunker,"('Brendan Fraser',), ('Sarah Jessica Parker',), ('Jessica Alba',), ('Rob Corddry',)"
Max Joseph,"('Zac Efron',), ('Wes Bentley',), ('Emily Ratajkowski',), ('Jonny Weston',)"
James Gray,"('Marion Cotillard',), ('Joaquin Phoenix',), ('Jeremy Renner',), ('Dagmara Dominczyk',)"
Woody Allen,"('Kenneth Branagh',), ('Judy Davis',), ('Leonardo DiCaprio',), ('Greg Mottola',)"
Brin Hill,"('Michael Stahl-David',), ('Zoe Kazan',), ('Mark Feuerstein',), ('David Gallagher',)"
Patricia Riggen,"('Antonio Banderas',), ('Rodrigo Santoro',), ('Juliette Binoche',), ('James Brolin',)"
Alejandro Amenábar,"('Ethan Hawke',), ('David Thewlis',), ('Emma Watson',), ('Dale Dickey',)"
Frédéric Forestier,"('Thomas Langmann',), ('Gérard Depardieu',), ('Clovis Cornillac',), ('Benoît Poelvoorde',)"
James Whale,"('Claude Rains',), ('Gloria Stuart',), ('William Harrigan',), ('Henry Travers',)"
Ben Wheatley,"('Alice Lowe',), ('Kenneth Hadley',), ('Steve Oram',), ('Eileen Davies',)"
Garry Marshall,"('Jane Fonda',), ('Lindsay Lohan',), ('Felicity Huffman',), ('Dermot Mulroney',)"
Cem Yilmaz,"('Cem Yilmaz',), ('Tülin Özen',), ('Zafer Algöz',), ('Özkan Ugur',)"
Yilmaz Erdogan,"('Ömer Faruk Sorak',), ('Yilmaz Erdogan',), ('Demet Akbag',), ('Altan Erkekli',)"
Sam Peckinpah,"('James Coburn',), ('Maximilian Schell',), ('James Mason',), ('David Warner',)"
Jamie Blanks,"('Denise Richards',), ('David Boreanaz',), ('Marley Shelton',), ('Jessica Capshaw',)"
David S. Ward,"('Charlie Sheen',), ('Tom Berenger',), ('Corbin Bernsen',), ('Dennis Haysbert',)"
Thomas Jahn,"('Til Schweiger',), ('Jan Josef Liefers',), ('Thierry van Werveke',), ('Moritz Bleibtreu',)"
Tom Tykwer,"('Cate Blanchett',), ('Giovanni Ribisi',), ('Remo Girone',), ('Stefania Rocca',)"
Frank A. Cappello,"('Christian Slater',), ('Elisha Cuthbert',), ('William H. Macy',), ('Michael DeLuise',)"
Rod Lurie,"('Joan Allen',), ('Gary Oldman',), ('Jeff Bridges',), ('Christian Slater',)"
Jason Zada,"('Natalie Dormer',), ('Eoin Macken',), ('Stephanie Vogt',), ('Osamu Tanpopo',)"
Terence Young,"('Audrey Hepburn',), ('Alan Arkin',), ('Richard Crenna',), ('Efrem Zimbalist Jr.',)"
Jean Renoir,"('Marcel Dalio',), ('Nora Gregor',), ('Paulette Dubost',), ('Mila Parély',)"
Jessica Sharzer,"('Kristen Stewart',), ('Elizabeth Perkins',), ('Richard Hagerman',), ('Allison Siko',)"
Darren Lynn Bousman,"('Paul Sorvino',), ('Anthony Head',), ('Alexa PenaVega',), ('Sarah Brightman',)"
Baz Luhrmann,"('Paul Mercurio',), ('Tara Morice',), ('Bill Hunter',), ('Pat Thomson',)"
John Badham,"('Bridget Fonda',), ('Gabriel Byrne',), ('Dermot Mulroney',), ('Miguel Ferrer',)"
Victor Salva,"('Scott Mechlowicz',), ('Nick Nolte',), ('Amy Smart',), ('Tim DeKay',)"
László Nemes,"('Géza Röhrig',), ('Levente Molnár',), ('Urs Rechn',), ('Todd Charmont',)"
Alfred Hitchcock,"('Tallulah Bankhead',), ('John Hodiak',), ('Walter Slezak',), ('William Bendix',)"
Bruce Beresford,"('John Cusack',), ('Morgan Freeman',), ('Jamie Anderson',), ('Alice Krige',)"
J. Lee Thompson,"('Gregory Peck',), ('Robert Mitchum',), ('Polly Bergen',), ('Lori Martin',)"
Abhinav Kashyap,"('Salman Khan',), ('Sonakshi Sinha',), ('Sonu Sood',), ('Arbaaz Khan',)"
Rob Zombie,"('Sheri Moon Zombie',), ('Meg Foster',), ('Bruce Davison',), ('Jeff Daniel Phillips',)"
Akira Kurosawa,"('Toshirô Mifune',), ('Tatsuya Nakadai',), ('Keiju Kobayashi',), ('Yûnosuke Itô',)"
Mike Leigh,"('Imelda Staunton',), ('Jim Broadbent',), ('Heather Craney',), ('Richard Graham',)"
Sarah Gavron,"('Carey Mulligan',), ('Anne-Marie Duff',), ('Helena Bonham Carter',), ('Meryl Streep',)"
Ron Underwood,"('Eddie Murphy',), ('Jay Mohr',), ('Randy Quaid',), ('Rosario Dawson',)"
Dave McKean,"('Stephanie Leonidas',), ('Jason Barry',), ('Rob Brydon',), ('Gina McKee',)"
Zaza Urushadze,"('Lembit Ulfsak',), ('Elmo Nüganen',), ('Giorgi Nakashidze',), ('Misha Meskhi',)"
Xavier Gens,"('Karina Testa',), ('Aurélien Wiik',), ('Patrick Ligardes',), ('Samuel Le Bihan',)"
Robert Rodriguez,"('Cayden Boyd',), ('George Lopez',), ('Kristin Davis',), ('David Arquette',)"
Anthony Hickox,"('Terry Farrell',), ('Doug Bradley',), ('Kevin Bernhardt',), ('Lawrence Mortorff',)"
Jon Watts,"('Kevin Bacon',), ('James Freedson-Jackson',), ('Hays Wellford',), ('Shea Whigham',)"
Charles Vidor,"('Rita Hayworth',), ('Glenn Ford',), ('George Macready',), ('Joseph Calleia',)"
Aanand L. Rai,"('Dhanush',), ('Sonam Kapoor',), ('Mohd. Zeeshan Ayyub',), ('Swara Bhaskar',)"
Bernardo Bertolucci,"('Jeremy Irons',), ('Liv Tyler',), ('Carlo Cecchi',), ('Sinéad Cusack',)"
Brian Levant,"('Cuba Gooding Jr.',), ('James Coburn',), ('Sisqó',), ('Nichelle Nichols',)"
Joan Chen,"('Richard Gere',), ('Winona Ryder',), ('Anthony LaPaglia',), ('Elaine Stritch',)"
Mohit Suri,"('Aditya Roy Kapoor',), ('Shraddha Kapoor',), ('Shaad Randhawa',), ('Salil Acharya',)"
Geoffrey Sax,"('Alex Pettyfer',), ('Mickey Rourke',), ('Sophie Okonedo',), ('Sarah Bolger',)"
Clint Eastwood,"('Clint Eastwood',), ('Charlie Sheen',), ('Raul Julia',), ('Sônia Braga',)"
Geoff Murphy,"('Bruno Lawrence',), ('Alison Routledge',), ('Pete Smith',), ('Anzac Wallace',)"
Christian Duguay,"('Peter Weller',), ('Roy Dupuis',), ('Jennifer Rubin',), ('Andy Lauer',)"
Paul Haggis,"('Liam Neeson',), ('Mila Kunis',), ('Adrien Brody',), ('Olivia Wilde',)"
Reginald Hudlin,"('Eddie Murphy',), ('Robin Givens',), ('Halle Berry',), ('David Alan Grier',)"
Jerry Zaks,"('Meryl Streep',), ('Leonardo DiCaprio',), ('Diane Keaton',), ('Robert De Niro',)"
Nicholas Tomnay,"('David Hyde Pierce',), ('Clayne Crawford',), ('Nathaniel Parker',), ('Tyrees Allen',)"
Jalmari Helander,"('Samuel L. Jackson',), ('Onni Tommila',), ('Ray Stevenson',), ('Victor Garber',)"
Uwe Boll,"('Zack Ward',), ('David Foley',), ('Verne Troyer',), ('Chris Coppola',)"
Edward Dmytryk,"('Humphrey Bogart',), ('José Ferrer',), ('Van Johnson',), ('Fred MacMurray',)"
Colin Higgins,"('Jane Fonda',), ('Lily Tomlin',), ('Dolly Parton',), ('Dabney Coleman',)"
Michael Powell,"('Emeric Pressburger',), ('Anton Walbrook',), ('Marius Goring',), ('Moira Shearer',)"
Anurag Kashyap,"('Abhay Deol',), ('Mahie Gill',), ('Kalki Koechlin',), ('Dibyendu Bhattacharya',)"
Lucio Fulci,"('Tisa Farrow',), ('Ian McCulloch',), ('Richard Johnson',), ('Al Cliver',)"
Meir Zarchi,"('Camille Keaton',), ('Eron Tabor',), ('Richard Pace',), ('Anthony Nichols',)"
Brian De Palma,"('Craig Wasson',), ('Melanie Griffith',), ('Gregg Henry',), ('Deborah Shelton',)"
Joshua Seftel,"('John Cusack',), ('Marisa Tomei',), ('Hilary Duff',), ('Joan Cusack',)"
Bob Saget,"('Norm MacDonald',), ('Jack Warden',), ('Artie Lange',), ('Traylor Howard',)"
Ryan Murphy,"('Joseph Cross',), ('Annette Bening',), ('Brian Cox',), ('Gwyneth Paltrow',)"
Howard Deutch,"('Eric Stoltz',), ('Mary Stuart Masterson',), ('Lea Thompson',), ('Craig Sheffer',)"
Gary Fleder,"('Shane Brolly',), (""Vincent D'Onofrio"",), ('Gary Sinise',), ('Madeleine Stowe',)"
Jamie Babbit,"('Natasha Lyonne',), ('Clea DuVall',), ('Michelle Williams',), ('Brandt Wille',)"
Jake Scott,"('James Gandolfini',), ('Kristen Stewart',), ('Melissa Leo',), ('David Jensen',)"
Anthony Minghella,"('Jude Law',), ('Robin Wright',), ('Vera Farmiga',), ('Martin Freeman',)"
Stuart Blumberg,"('Mark Ruffalo',), ('Tim Robbins',), ('Gwyneth Paltrow',), ('Josh Gad',)"
Jalmari Helander,"('Jorma Tommila',), ('Onni Tommila',), ('Peeter Jakobi',), ('Tommi Korpela',)"
Ingmar Bergman,"('Harriet Andersson',), ('Liv Ullmann',), ('Kari Sylwan',), ('Ingrid Thulin',)"
Gérard Krawczyk,"('Samy Naceri',), ('Frédéric Diefenthal',), ('Bernard Farcy',), ('Emma Wiklund',)"
Ernst Lubitsch,"('Margaret Sullavan',), ('James Stewart',), ('Frank Morgan',), ('Joseph Schildkraut',)"
Matthew Ryan Hoge,"('Ryan Gosling',), ('Don Cheadle',), ('Kevin Spacey',), ('Chris Klein',)"
Fred Schepisi,"('Tim Robbins',), ('Meg Ryan',), ('Walter Matthau',), ('Lou Jacobi',)"
Barry Levinson,"('Will Rogers',), ('Kristen Connolly',), ('Kether Donohue',), ('Frank Deal',)"
Glen Morgan,"('Michelle Trachtenberg',), ('Mary Elizabeth Winstead',), ('Lacey Chabert',), ('Katie Cassidy',)"
Alexander Mackendrick,"('Burt Lancaster',), ('Tony Curtis',), ('Susan Harrison',), ('Martin Milner',)"
Paul Bartel,"('David Carradine',), ('Sylvester Stallone',), ('Simone Griffeth',), ('Mary Woronov',)"
Joseph Sargent,"('Walter Matthau',), ('Robert Shaw',), ('Martin Balsam',), ('Hector Elizondo',)"
Griffin Dunne,"('Meg Ryan',), ('Matthew Broderick',), ('Kelly Preston',), ('Tchéky Karyo',)"
M. Cahill,"('Michael Douglas',), ('Evan Rachel Wood',), ('Willis Burks II',), ('Laura Kachergus',)"
Billy Ray,"('Chiwetel Ejiofor',), ('Nicole Kidman',), ('Julia Roberts',), ('Dean Norris',)"
Nimród Antal,"('Sándor Csányi',), ('Eszter Balla',), ('Zoltán Mucsi',), ('Csaba Pindroch',)"
Ali Taner Baltaci,"('Cem Yilmaz',), ('Cem Yilmaz',), ('Özge Özberk',), ('Zafer Algöz',)"
Andrzej Bartkowiak,"('Kristin Kreuk',), ('Neal McDonough',), ('Michael Clarke Duncan',), ('Chris Klein',)"
Stephen Herek,"('Tommy Lee Jones',), ('Christina Milian',), ('Kelli Garner',), ('Cedric the Entertainer',)"
Clint Eastwood,"('Clint Eastwood',), ('Freddie Jones',), ('David Huffman',), ('Warren Clarke',)"
Jean-Luc Godard,"('Brigitte Bardot',), ('Jack Palance',), ('Michel Piccoli',), ('Giorgia Moll',)"
Amma Asante,"('Gugu Mbatha-Raw',), ('Matthew Goode',), ('Emily Watson',), ('Miranda Richardson',)"
Tom Holland,"('Robert John Burke',), ('Joe Mantegna',), ('Lucinda Jenney',), ('Bethany Joy Lenz',)"
Guillermo del Toro,"('Federico Luppi',), ('Ron Perlman',), ('Claudio Brook',), ('Margarita Isabel',)"
